重庆联通,#genre#
CCTV7,http://14.108.209.204:8806/udp/235.254.198.4:1292
CCTV8,http://14.108.209.204:8806/udp/235.254.198.144:1856
CCTV9,http://14.108.209.204:8806/udp/235.254.198.5:1296
CCTV10,http://14.108.209.204:8806/udp/235.254.198.6:1300
CCTV12,http://14.108.209.204:8806/udp/235.254.198.8:1308
CCTV少儿,http://14.108.209.204:8806/udp/235.254.198.10:1316
江苏卫视,http://14.108.209.204:8806/udp/235.254.198.19:1352
湖南卫视,http://14.108.209.204:8806/udp/235.254.198.17:1344
东方卫视,http://14.108.209.204:8806/udp/235.254.198.33:1408
北京卫视,http://14.108.209.204:8806/udp/235.254.198.21:1360
浙江卫视,http://14.108.209.204:8806/udp/235.254.198.18:1348
深圳卫视,http://14.108.209.204:8806/udp/235.254.198.31:1400
安徽卫视,http://14.108.209.204:8806/udp/235.254.198.20:1356
山东卫视,http://14.108.209.204:8806/udp/235.254.198.24:1372
广东卫视,http://14.108.209.204:8806/udp/235.254.198.37:1424
天津卫视,http://14.108.209.204:8806/udp/235.254.198.22:1364
四川卫视,http://14.108.209.204:8806/udp/235.254.198.28:1388
辽宁卫视,http://14.108.209.204:8806/udp/235.254.198.23:1368
黑龙江卫视,http://14.108.209.204:8806/udp/235.254.198.27:1384
贵州卫视,http://14.108.209.204:8806/udp/235.254.198.30:1396
湖北卫视,http://14.108.209.204:8806/udp/235.254.198.32:1404
河北卫视,http://14.108.209.204:8806/udp/235.254.198.128:1788
东南卫视,http://14.108.209.204:8806/udp/235.254.198.35:1416
爱上4K,http://14.108.209.204:8806/udp/235.254.198.102:7980
开县本地电视1,http://14.108.209.204:8806/udp/235.254.198.145:1870
开县本地电视2,http://14.108.209.204:8806/udp/235.254.198.148:1874
直播室9,http://14.108.209.204:8806/udp/235.254.196.138:8780
直播室10,http://14.108.209.204:8806/udp/235.254.196.139:8786
直播室11,http://14.108.209.204:8806/udp/235.254.196.140:8792
直播室12,http://14.108.209.204:8806/udp/235.254.196.141:8798
直播室13,http://14.108.209.204:8806/udp/235.254.196.142:8804
直播室14,http://14.108.209.204:8806/udp/235.254.196.143:8810
直播室15,http://14.108.209.204:8806/udp/235.254.196.144:8816
重庆卫视,http://14.108.209.204:8806/udp/235.254.196.12:8046
直播室1,http://14.108.209.204:8806/udp/235.254.196.231:1196
直播室2商用,http://14.108.209.204:8806/udp/235.254.196.232:1200
直播室3,http://14.108.209.204:8806/udp/235.254.196.233:1204
直播室4,http://14.108.209.204:8806/udp/235.254.196.234:1208
直播室5,http://14.108.209.204:8806/udp/235.254.196.235:1212
直播室6,http://14.108.209.204:8806/udp/235.254.196.236:1216
直播室7,http://14.108.209.204:8806/udp/235.254.196.237:1220
直播室108,http://14.108.209.204:8806/udp/235.254.196.239:8942
直播室109,http://14.108.209.204:8806/udp/235.254.196.240:8946
直播室110,http://14.108.209.204:8806/udp/235.254.196.241:8950
直播室111,http://14.108.209.204:8806/udp/235.254.196.242:8974
直播室208,http://14.108.209.204:8806/udp/235.254.196.243:8958
直播室209,http://14.108.209.204:8806/udp/235.254.196.244:8962
直播室210,http://14.108.209.204:8806/udp/235.254.196.244:8962
直播室211,http://14.108.209.204:8806/udp/235.254.196.246:8970
直播室212,http://14.108.209.204:8806/udp/235.254.198.152:7980
直播室213,http://14.108.209.204:8806/udp/235.254.198.153:7980
直播室214,http://14.108.209.204:8806/udp/235.254.198.154:7980
直播室215,http://14.108.209.204:8806/udp/235.254.198.155:7980
直播室216,http://14.108.209.204:8806/udp/235.254.198.156:7980
直播室217,http://14.108.209.204:8806/udp/235.254.198.157:7980
直播室218,http://14.108.209.204:8806/udp/235.254.198.158:7980
直播室219,http://14.108.209.204:8806/udp/235.254.198.159:7980
直播室220,http://14.108.209.204:8806/udp/235.254.198.160:7980
直播室221,http://14.108.209.204:8806/udp/235.254.198.161:7980
芒果TV,http://14.108.209.204:8806/udp/235.254.196.206:7980
长寿本地1（测试,http://14.108.209.204:8806/udp/235.254.196.225:1278
长寿本地2（测试,http://14.108.209.204:8806/udp/235.254.196.223:1282
长寿本地3（测试,http://14.108.209.204:8806/udp/235.254.196.224:1286
音乐之声（测试）,http://14.108.209.204:8806/udp/235.254.196.128:1306
江苏晚会4K,http://14.108.209.204:8806/udp/235.254.198.147:1866
重庆联通组播,#genre#
CCTV1高清,http://123.145.30.27:8003/udp/225.0.4.74:7980
CCTV2高清,http://123.145.30.27:8003/udp/225.0.4.132:7980
CCTV3高清,http://123.145.30.27:8003/udp/225.0.4.142:7980
CCTV4高清,http://123.145.30.27:8003/udp/225.0.4.176:7980
CCTV5高清,http://123.145.30.27:8003/udp/225.0.4.143:7980
CCTV5+高清,http://123.145.30.27:8003/udp/225.0.4.73:7980
CCTV6高清,http://123.145.30.27:8003/udp/225.0.4.144:7980
CCTV7高清,http://123.145.30.27:8003/udp/225.0.4.127:7980
CCTV8高清,http://123.145.30.27:8003/udp/225.0.4.137:7980
CCTV9高清,http://123.145.30.27:8003/udp/225.0.4.131:7980
CCTV10高清,http://123.145.30.27:8003/udp/225.0.4.130:7980
CCTV11,http://123.145.30.27:8003/udp/225.0.4.7:7980
CCTV12高清,http://123.145.30.27:8003/udp/225.0.4.129:7980
CCTV新闻,http://123.145.30.27:8003/udp/225.0.4.9:7980
CCTV14高清,http://123.145.30.27:8003/udp/225.0.4.128:7980
CCTV音乐,http://123.145.30.27:8003/udp/225.0.4.11:7980
CCTV英语新闻,http://123.145.30.27:8003/udp/225.0.4.12:7980
CCTV17高清,http://123.145.30.27:8003/udp/225.0.4.179:7980
全纪实,http://123.145.30.27:8003/udp/225.0.4.113:7980
